alpha_s,alpha_a,base_clean,base_noisy
0.010,0.050,0.9600,0.0800
0.010,0.100,0.9600,0.0400
0.010,0.200,0.9600,0.0000
0.020,0.050,0.9600,0.0400
0.020,0.100,0.9600,0.0000
0.020,0.200,0.9600,0.0000
0.030,0.050,0.9600,0.0000
0.030,0.100,0.9600,0.0000
0.030,0.200,0.9600,0.0000
0.040,0.050,0.9600,0.0000
0.040,0.100,0.9600,0.0000
0.040,0.200,0.9600,0.0000
0.050,0.050,0.9600,0.0000
0.050,0.100,0.9600,0.0000
0.050,0.200,0.9600,0.0000
