alpha_s / alpha_a,0.000,0.050,0.100,0.200
0.000,0.9600,0.8000,0.6400,0.2600
0.010,0.8400,0.5000,0.5200,0.1600
0.020,0.5000,0.4000,0.1600,0.0600
0.030,0.1400,0.0800,0.1200,0.0200
0.040,0.1800,0.1000,0.0800,0.0200
0.050,0.1000,0.1600,0.1200,0.0200
